1 -2  1 0
558 -1.9973662  0.99932997 154
559 -1.9973709  0.99933117 154
560 -1.9973756  0.99933237 154
561 -1.9973803  0.99933356 154
562 -1.9973849  0.99933474 154
563 -1.9973896  0.99933592 154
564 -1.9973942  0.9993371 154
565 -1.9973988  0.99933827 154
566 -1.9973959  0.99933757 155
567 -1.9973669  0.99933034 156
568 -1.9973715  0.99933151 156
569 -1.9973487  0.99932583 158
570 -1.9973534  0.99932702 158
571 -1.997358  0.9993282 158
572 -1.9973626  0.99932937 158
573 -1.9973672  0.99933054 158
574 -1.9973718  0.99933171 158
575 -1.9973764  0.99933287 158
576 -1.9973576  0.99932819 159
577 -1.9973426  0.99932446 160
578 -1.9973472  0.99932563 160
579 -1.9973518  0.99932679 160
580 -1.9973563  0.99932795 160
581 -1.9973609  0.99932911 160
582 -1.9973654  0.99933026 160
583 -1.9973631  0.9993297 162
584 -1.9973676  0.99933084 162
585 -1.9973721  0.99933199 162
586 -1.9973584  0.99932858 164
587 -1.997313  0.99931725 165
588 -1.9972919  0.99931199 166
589 -1.9972965  0.99931316 166
590 -1.9973011  0.99931432 166
591 -1.9973056  0.99931548 166
592 -1.9973102  0.99931664 166
593 -1.997283  0.99930987 167
594 -1.9972539  0.99930261 167
595 -1.9972249  0.99929538 167
596 -1.9972296  0.99929656 168
597 -1.9972342  0.99929774 168
598 -1.9972388  0.99929891 168
599 -1.9972434  0.99930008 168
600 -1.997248  0.99930125 168
601 -1.9972526  0.99930241 168
602 -1.9972456  0.99930066 170
603 -1.9972501  0.99930182 170
604 -1.9972547  0.99930298 170
605 -1.9972592  0.99930413 170
606 -1.9972637  0.99930528 170
607 -1.9972682  0.99930643 170
608 -1.9972727  0.99930757 170
609 -1.9972772  0.9993087 170
610 -1.9972817  0.99930984 170
611 -1.9972817  0.99930986 171
612 -1.9972535  0.99930282 171
613 -1.9972348  0.99929816 172
614 -1.9972393  0.99929931 172
615 -1.9972438  0.99930045 172
616 -1.9972483  0.99930158 172
617 -1.9972527  0.99930271 172
618 -1.997249  0.9993018 173
619 -1.997233  0.99929782 174
620 -1.9972375  0.99929895 174
621 -1.9972419  0.99930008 174
622 -1.9972463  0.99930121 174
623 -1.9972508  0.99930233 174
624 -1.9972552  0.99930345 174
625 -1.9972596  0.99930456 174
626 -1.9972639  0.99930567 174
627 -1.9972683  0.99930678 174
628 -1.9972727  0.99930788 174
629 -1.997277  0.99930898 174
630 -1.9972813  0.99931008 174
631 -1.9972856  0.99931117 174
632 -1.9972899  0.99931226 174
633 -1.9972942  0.99931335 174
634 -1.9972985  0.99931443 174
635 -1.9973027  0.99931551 174
636 -1.997307  0.99931659 174
637 -1.9973112  0.99931766 174
638 -1.9973154  0.99931873 174
639 -1.9973196  0.9993198 174
640 -1.9973238  0.99932086 174
641 -1.997328  0.99932192 174
642 -1.9973321  0.99932298 174
643 -1.9973363  0.99932403 174
644 -1.9973404  0.99932508 174
645 -1.9973445  0.99932612 174
646 -1.9973486  0.99932717 174
647 -1.9973442  0.99932608 175
648 -1.9973459  0.9993265 176
649 -1.99735  0.99932754 176
650 -1.997354  0.99932858 176
651 -1.9973581  0.99932961 176
652 -1.9973622  0.99933064 176
653 -1.9973662  0.99933166 176
654 -1.9973702  0.99933268 176
655 -1.9973742  0.9993337 176
656 -1.9973747  0.99933382 178
657 -1.9973787  0.99933484 178
658 -1.9973826  0.99933585 178
659 -1.9973773  0.99933452 179
660 -1.9973807  0.9993354 180
661 -1.9973835  0.99933612 182
662 -1.9973875  0.99933712 182
663 -1.9973914  0.99933812 182
664 -1.9973821  0.99933581 184
665 -1.9973861  0.9993368 184
666 -1.99739  0.9993378 184
667 -1.9973939  0.99933879 184
668 -1.9973978  0.99933978 184
669 -1.9974017  0.99934077 184
670 -1.9974056  0.99934175 184
671 -1.9974022  0.99934093 185
672 -1.9973763  0.99933447 185
673 -1.9973745  0.99933403 186
674 -1.9973784  0.99933501 186
675 -1.9973823  0.999336 186
676 -1.9973861  0.99933698 186
677 -1.9973898  0.99933791 188
678 -1.9973896  0.99933789 190
679 -1.9973721  0.99933352 191
680 -1.99735  0.999328 192
681 -1.9973539  0.99932898 192
682 -1.9973522  0.99932859 194
683 -1.9973561  0.99932958 194
684 -1.99736  0.99933056 194
685 -1.9973638  0.99933153 194
686 -1.9973677  0.99933251 194
687 -1.9973715  0.99933348 194
688 -1.9973729  0.99933385 195
689 -1.9973718  0.99933358 196
690 -1.9973756  0.99933455 196
691 -1.9973794  0.99933551 196
692 -1.9973832  0.99933647 196
693 -1.997387  0.99933743 196
694 -1.9973907  0.99933838 196
695 -1.9973945  0.99933933 196
696 -1.9973982  0.99934028 196
697 -1.997402  0.99934123 196
698 -1.9974057  0.99934217 196
699 -1.9974053  0.9993421 197
700 -1.9973805  0.99933589 197
701 -1.9973681  0.99933281 198
702 -1.9973718  0.99933376 198
703 -1.9973756  0.99933471 198
704 -1.9973743  0.99933439 199
705 -1.9973529  0.99932908 200
706 -1.9973567  0.99933003 200
707 -1.997356  0.99932988 201
708 -1.9973315  0.99932376 201
709 -1.9973332  0.99932419 202
710 -1.9973369  0.99932514 202
711 -1.9973407  0.99932609 202
712 -1.9973106  0.99931857 206
713 -1.9972841  0.99931197 207
714 -1.9972633  0.99930679 208
715 -1.9972672  0.99930776 208
716 -1.997271  0.99930873 208
717 -1.9972748  0.99930969 208
718 -1.9972786  0.99931065 208
719 -1.9972824  0.99931161 208
720 -1.9972861  0.99931257 208
721 -1.9972862  0.9993126 210
722 -1.99729  0.99931356 210
723 -1.9972821  0.9993116 211
724 -1.997268  0.99930808 212
725 -1.9972718  0.99930903 212
726 -1.9972755  0.99930999 212
727 -1.9972793  0.99931094 212
728 -1.997283  0.99931188 212
729 -1.9972867  0.99931283 212
730 -1.9972904  0.99931377 212
731 -1.9972942  0.99931471 212
732 -1.9972978  0.99931564 212
733 -1.9973015  0.99931658 212
734 -1.9973052  0.99931751 212
735 -1.9973089  0.99931844 212
736 -1.9973125  0.99931936 212
737 -1.9973162  0.99932028 212
738 -1.9973119  0.99931922 214
739 -1.9973155  0.99932015 214
740 -1.9973192  0.99932106 214
741 -1.9973228  0.99932198 214
742 -1.9973264  0.99932289 214
743 -1.99733  0.99932381 214
744 -1.9973336  0.99932471 214
745 -1.9973371  0.99932562 214
746 -1.9973164  0.99932044 215
747 -1.9972932  0.99931466 215
748 -1.9972716  0.99930926 216
749 -1.9972752  0.99931018 216
750 -1.9972788  0.9993111 216
751 -1.9972825  0.99931202 216
752 -1.9972861  0.99931293 216
753 -1.9972897  0.99931384 216
754 -1.9972933  0.99931475 216
755 -1.9972969  0.99931566 216
756 -1.9973004  0.99931657 216
757 -1.997304  0.99931747 216
758 -1.9973076  0.99931837 216
759 -1.9973111  0.99931927 216
760 -1.9973146  0.99932016 216
761 -1.9973182  0.99932106 216
762 -1.9973217  0.99932195 216
763 -1.9973252  0.99932284 216
764 -1.9973287  0.99932372 216
765 -1.9973322  0.99932461 216
766 -1.9973357  0.99932549 216
767 -1.9973391  0.99932637 216
768 -1.9973426  0.99932725 216
769 -1.9973461  0.99932812 216
770 -1.9973495  0.99932899 216
771 -1.997353  0.99932986 216
772 -1.9973564  0.99933073 216
773 -1.9973598  0.9993316 216
774 -1.9973632  0.99933246 216
775 -1.9973666  0.99933332 216
776 -1.99737  0.99933418 216
777 -1.9973734  0.99933504 216
778 -1.9973768  0.99933589 216
779 -1.9973801  0.99933675 216
780 -1.9973835  0.9993376 216
781 -1.9973868  0.99933844 216
782 -1.9973902  0.99933929 216
783 -1.9973935  0.99934013 216
784 -1.9973968  0.99934098 216
785 -1.9973979  0.99934126 218
786 -1.9974012  0.9993421 218
787 -1.9974045  0.99934293 218
788 -1.9974078  0.99934377 218
789 -1.9974111  0.9993446 218
790 -1.9974144  0.99934543 218
791 -1.9974177  0.99934625 218
792 -1.9974209  0.99934708 218
793 -1.9974242  0.9993479 218
794 -1.9974274  0.99934872 218
795 -1.9974307  0.99934954 218
796 -1.9974339  0.99935036 218
797 -1.9974371  0.99935118 218
798 -1.9974403  0.99935199 218
799 -1.9974435  0.9993528 218
800 -1.9974467  0.99935361 218
801 -1.9974499  0.99935442 218
802 -1.9974531  0.99935522 218
803 -1.9974563  0.99935602 218
804 -1.9974594  0.99935683 218
805 -1.9974626  0.99935762 218
806 -1.9974657  0.99935842 218
807 -1.9974689  0.99935922 218
808 -1.9974708  0.99935972 220
809 -1.9974739  0.99936051 220
810 -1.9974771  0.9993613 220
811 -1.9974802  0.99936208 220
812 -1.9974833  0.99936287 220
813 -1.9974864  0.99936365 220
814 -1.9974895  0.99936443 220
815 -1.9974925  0.99936521 220
816 -1.9974956  0.99936599 220
817 -1.9974805  0.99936222 221
818 -1.9974619  0.99935759 223
819 -1.9974406  0.99935227 223
820 -1.9974233  0.99934794 226
821 -1.9974264  0.99934874 226
822 -1.9974295  0.99934953 226
823 -1.9974327  0.99935032 226
824 -1.9974358  0.99935111 226
825 -1.9974389  0.99935189 226
826 -1.9974379  0.99935165 228
827 -1.997441  0.99935243 228
