1 -0.4687  0.0970875 212
752 -1.9788575  0.97799463 1665
753 -1.9788856  0.97802385 1665
754 -1.9788849  0.97804514 1668
755 -1.9788864  0.9780676 1668
756 -1.9789025  0.97809365 1669
757 -1.9789304  0.97812259 1669
758 -1.9789581  0.97815145 1669
759 -1.9789859  0.97818024 1669
760 -1.9790135  0.97820895 1669
761 -1.9790411  0.97823758 1669
762 -1.9790686  0.97826614 1669
763 -1.979096  0.97829463 1669
764 -1.9791234  0.97832304 1669
765 -1.9791507  0.97835137 1669
766 -1.9791779  0.97837963 1669
767 -1.9792033  0.97840738 1671
768 -1.9792304  0.9784355 1671
769 -1.9792574  0.97846354 1671
770 -1.9792843  0.97849151 1671
771 -1.9793112  0.97851941 1671
772 -1.979338  0.97854723 1671
773 -1.9793647  0.97857498 1671
774 -1.9793914  0.97860266 1671
775 -1.979418  0.97863027 1671
776 -1.9794445  0.97865781 1671
777 -1.9794709  0.97868528 1671
778 -1.9794973  0.97871268 1671
779 -1.9795237  0.97874 1671
780 -1.9795436  0.97876569 1672
