578 -1.9976525  0.99940755 132
579 -1.9976566  0.99940857 132
580 -1.9976606  0.99940959 132
581 -1.9976646  0.99941061 132
582 -1.9976686  0.99941162 132
583 -1.9976726  0.99941263 132
584 -1.9976766  0.99941363 132
585 -1.9976806  0.99941464 132
586 -1.9976846  0.99941564 132
587 -1.9976885  0.99941663 132
588 -1.9976924  0.99941762 132
589 -1.9976963  0.99941861 132
590 -1.9977003  0.9994196 132
591 -1.9977041  0.99942058 132
592 -1.997708  0.99942156 132
593 -1.9977119  0.99942253 132
594 -1.9977142  0.99942313 133
595 -1.9977095  0.99942195 134
596 -1.9977133  0.99942292 134
597 -1.9977172  0.99942389 134
598 -1.997721  0.99942485 134
599 -1.9977248  0.99942581 134
600 -1.9977286  0.99942677 134
601 -1.9977324  0.99942772 134
602 -1.9977361  0.99942868 134
603 -1.9977399  0.99942962 134
604 -1.9977436  0.99943057 134
605 -1.9977474  0.99943151 134
606 -1.9977511  0.99943245 134
607 -1.9977548  0.99943338 134
608 -1.9977585  0.99943431 134
609 -1.9977622  0.99943524 134
610 -1.9977658  0.99943617 134
611 -1.9977695  0.99943709 134
612 -1.9977686  0.99943689 136
613 -1.9977723  0.99943781 136
614 -1.9977759  0.99943872 136
615 -1.9977795  0.99943963 136
616 -1.9977831  0.99944054 136
617 -1.9977867  0.99944145 136
618 -1.9977903  0.99944235 136
619 -1.9977939  0.99944326 136
620 -1.9977974  0.99944415 136
621 -1.997801  0.99944505 136
622 -1.9978045  0.99944594 136
623 -1.997808  0.99944683 136
624 -1.9978115  0.99944772 136
625 -1.997815  0.9994486 136
626 -1.9978185  0.99944948 136
627 -1.997822  0.99945036 136
628 -1.9978255  0.99945123 136
629 -1.9978289  0.99945211 136
630 -1.9978324  0.99945298 136
631 -1.9978358  0.99945384 136
632 -1.9978392  0.99945471 136
633 -1.9978217  0.99945034 137
634 -1.9978237  0.99945085 138
635 -1.9978272  0.99945171 138
636 -1.9978306  0.99945257 138
637 -1.997834  0.99945343 138
638 -1.9978374  0.99945429 138
639 -1.9978408  0.99945514 138
640 -1.9978441  0.999456 138
641 -1.9978475  0.99945684 138
642 -1.9978509  0.99945769 138
643 -1.9978474  0.99945684 139
